'a274c13,jhonmarcod95,2018-12-17 17:16:17 +0800,Schedule company filter'
'9d8ef44,jhonmarcod95,2018-12-17 09:35:29 +0800,Multiple Scheduling'
'a996af9,jhonmarcod95,2018-12-14 18:13:37 +0800,Date Range Adding of Schedule'
'9eed681,jhonmarcod95,2018-12-14 14:00:19 +0800,fixed merge conflict in all.js'
'0b4fea9,Terrence Tejada,2018-12-10 16:14:59 +0800,Merge branch 'master' of https://github.com/jhonmarcod95/salesman'
'1fec2ef,Terrence Tejada,2018-12-10 16:14:22 +0800,Request Sched API cleanup'
'23a77d6,devy.viray,2018-12-07 12:33:12 +0800,Merge branch 'RequestSchedule''
'7f2a22c,devy.viray,2018-12-07 12:19:07 +0800,Confirmation message for approving or disapproving of request change schedule'
'd802517,devy.viray,2018-12-07 09:38:55 +0800,User Changing of password'
'1467c6f,Terrence Tejada,2018-12-06 19:53:44 +0800,Merge branch 'master' of https://github.com/jhonmarcod95/salesman'
'c9f82e0,Terrence Tejada,2018-12-06 19:53:29 +0800,Setup API for request and approval entries'
'8a9bbd1,devy.viray,2018-12-06 17:55:10 +0800,Approving and disapproving of request change schedule'
'be399ea,devy.viray,2018-12-04 13:24:53 +0800,Merge branch 'HrRoles''
'7f76336,Terrence Tejada,2018-12-04 09:59:57 +0800,Add expenses entry relationship to expenses model'
'6b0e266,Terrence Tejada,2018-12-04 09:36:09 +0800,Merge branch 'master' of https://github.com/jhonmarcod95/salesman'
'e650753,Terrence Tejada,2018-12-04 09:35:37 +0800,Add request schedule model'
'd08a900,Terrence Tejada,2018-12-04 09:35:16 +0800,Add Payments / Approval Expenses API'
'8bc7908,Terrence Tejada,2018-12-04 09:34:00 +0800,Fixed expenses_entries related expenses data'
'93954e6,jhonmarcod95,2018-12-03 11:24:25 +0800,Renamed no-image.png'
'65f0498,jhonmarcod95,2018-12-03 08:37:14 +0800,Can view less than or equal level of roles'
'b375346,Terrence Tejada,2018-11-29 17:09:40 +0800,Initialized Request Schedule Model'
'84726b7,Terrence Tejada,2018-11-29 17:08:54 +0800,Add Payment API to salesforce app'
'7f837fc,devy.viray,2018-11-27 13:51:23 +0800,Add company field for filtering of attendance (Hr Roles)'
'c9616db,Terrence Tejada,2018-11-26 18:19:49 +0800,Merge branch 'master' of https://github.com/jhonmarcod95/salesman'
'00bc6f8,Terrence Tejada,2018-11-26 18:19:21 +0800,Add offline API for sign in/out & Enhance get schedule API'
'6ca7275,devy.viray,2018-11-26 15:39:51 +0800,Search expense by company (Payment Module) / Display payment tab only for AP role'
'771fe96,devy.viray,2018-11-23 18:52:32 +0800,Add HR roles / Fetch record base on the company only(Dashboard/attendance Report/Expense Report/ Announcement)'
'fd2ea42,devy.viray,2018-11-20 17:46:39 +0800,Fixed routes for AP'
'55b7b20,devy.viray,2018-11-20 16:22:52 +0800,Merge branch 'RolesBranch''
'4ed7300,devy.viray,2018-11-20 16:09:28 +0800,Recommit Routes bugs'
'60913b9,devy.viray,2018-11-19 16:01:32 +0800,Merge branch 'RolesBranch''
'896c97b,devy.viray,2018-11-19 15:48:04 +0800,Plotting of signin/signout location in google map'
'1641117,devy.viray,2018-11-19 13:14:12 +0800,Merge branch 'RolesBranch''
'004c280,devy.viray,2018-11-19 13:11:22 +0800,Bug fixing customer code'
'e68acbc,jhonmarcod95,2018-11-19 11:05:41 +0800,Fixed Route Grouping'
'4e9b808,jhonmarcod95,2018-11-19 10:48:27 +0800,Schedule Level Filtering and Routes Correction for User Roles'
'54ba095,jhonmarcod95,2018-11-19 08:23:41 +0800,Customer Search in Schedule Page'
'7e25cbf,Terrence Tejada,2018-11-17 02:54:38 +0800,Merge branch 'master' of https://github.com/jhonmarcod95/salesman'
'affa344,Terrence Tejada,2018-11-17 02:47:10 +0800,Get TSR location for GPS'
'2898d78,devy.viray,2018-11-15 18:26:49 +0800,Merge branch 'RolesBranch''
'21a55f5,devy.viray,2018-11-15 18:25:33 +0800,Show sign in image'
'61dca4c,devy.viray,2018-11-15 16:53:44 +0800,Merge branch 'RolesBranch''
